Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points
58,Emily Broderson,2,96.85,0.0,63.27,0.0,0.0,0.0,0.0,33.57,0.0,0.0
59,Emily Flynn,2,96.47,76.47,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
60,Marian Delaney,2,95.53,0.0,20.0,0.0,0.0,0.0,75.53,0.0,0.0,0.0
61,Gretta Scholz,1,94.74,0.0,0.0,0.0,0.0,0.0,94.74,0.0,0.0,0.0
62,Kaia Osmundson,1,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75
63,Tricia Swartling,1,93.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.13
64,Stephani Johnson,2,92.37,0.0,20.0,0.0,0.0,0.0,72.37,0.0,0.0,0.0
65,Marit Ross-Sonnesyn,1,92.11,0.0,0.0,0.0,0.0,0.0,92.11,0.0,0.0,0.0
66,Jenna Nelson,2,91.88,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,71.88
67,Patty Carlen,2,89.89,0.0,20.0,0.0,0.0,0.0,69.89,0.0,0.0,0.0
68,Adrianne Johnson,1,89.67,0.0,89.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Andrea Breen,2,89.26,0.0,20.0,0.0,0.0,0.0,69.26,0.0,0.0,0.0
70,Mary Ellen Hausladen,2,88.68,0.0,68.68,0.0,0.0,0.0,0.0,20.0,0.0,0.0
71,Cara Battles,2,88.42,20.0,0.0,0.0,0.0,0.0,68.42,0.0,0.0,0.0
72,Rachel Bettendorf,1,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5
73,Aubrie Ecker,1,86.96,0.0,0.0,0.0,0.0,86.96,0.0,0.0,0.0,0.0
74,Kajsa Nelson,1,86.3,0.0,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Kerrie Berg,1,85.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.62,0.0
76,Mary McKelvey,1,85.53,85.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Andrea Patten,1,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.62,0.0
78,Stephanie Alcivar,2,84.01,0.0,64.01,0.0,0.0,0.0,20.0,0.0,0.0,0.0
