Name,Overall Place,Number of Events,Skadi's Chase Points,First Chance Points,City of Lakes Loppet Points,Total Points
Ben Larson,111,1,0.0,0.0,73.49,73.49
Jay Wenner,112,1,73.1,0.0,0.0,73.1
Dan Westerhaus,113,1,0.0,0.0,73.09,73.09
Jim Cloutier,114,2,32.08,0.0,40.83,72.91
Ethan Foote,115,1,72.58,0.0,0.0,72.58
Gregory Alexander,116,1,0.0,0.0,71.89,71.89
Nathan Hohenshell,117,1,71.77,0.0,0.0,71.77
Scott Swenson,118,1,0.0,0.0,71.58,71.58
Finn Sheeley,119,1,70.97,0.0,0.0,70.97
Dave Niday,120,1,0.0,0.0,70.68,70.68
David Potasek,121,2,29.73,0.0,40.86,70.58
Tom Claessens,122,1,0.0,0.0,70.28,70.28
Brad Skillicorn,123,1,0.0,0.0,70.05,70.05
Daniel Boody,124,1,0.0,0.0,69.88,69.88
Noah Wilson,125,1,0.0,0.0,69.48,69.48
Ian Wright,126,1,69.35,0.0,0.0,69.35
William Lee,127,1,69.24,0.0,0.0,69.24
John Kallemeyn,128,1,68.55,0.0,0.0,68.55
Corey Brinkema,129,1,0.0,0.0,68.54,68.54
Artie Huber,130,1,0.0,68.5,0.0,68.5
Michael Garlinghouse,131,1,0.0,0.0,68.27,68.27
Alec Tauer,132,1,0.0,0.0,67.87,67.87
Joshua Blankenship,133,1,0.0,0.0,67.47,67.47
Jonah Lidberg,134,1,0.0,0.0,66.96,66.96
Michael Coughlin,135,1,66.94,0.0,0.0,66.94
Andre Lheureux,136,1,66.65,0.0,0.0,66.65
Daniel Luoma,137,1,66.13,0.0,0.0,66.13
Jonathan Saldin,138,1,66.06,0.0,0.0,66.06
Dan McGrath,139,1,0.0,0.0,65.65,65.65
William Dezelar,140,1,0.0,0.0,65.33,65.33
Michael Burgdorf,141,1,0.0,0.0,64.66,64.66
Darren Halzle,142,1,0.0,0.0,64.45,64.45
Garrett Bembenek,143,1,0.0,0.0,64.26,64.26
Bjorn Engstrom,144,1,0.0,0.0,63.74,63.74
Chad Korby,145,1,63.71,0.0,0.0,63.71
Matt Gardner,146,1,0.0,0.0,63.34,63.34
Tyler Gregory,147,2,25.0,0.0,38.15,63.15
Timothy Piehler,148,1,0.0,0.0,63.14,63.14
Mike Drinane,149,1,62.9,0.0,0.0,62.9
Kevin Johnson,150,1,62.48,0.0,0.0,62.48
Steven Goetz,151,1,0.0,0.0,61.93,61.93
Mike Berkopec,152,1,0.0,0.0,61.91,61.91
McDaniel Lang,153,1,0.0,0.0,61.45,61.45
Tim McGann,154,1,0.0,0.0,61.21,61.21
Eric Peterson,155,1,0.0,0.0,61.04,61.04
David Christopherson,156,1,0.0,60.5,0.0,60.5
Daniel Copperud,157,1,0.0,0.0,60.44,60.44
Jonathan Schupp,158,1,0.0,0.0,59.88,59.88
Steve Swedal,159,1,0.0,0.0,59.73,59.73
Nikolas Stoufis,160,1,59.68,0.0,0.0,59.68
David Lombardo,161,1,0.0,0.0,59.19,59.19
Christopher Frenier,162,1,58.87,0.0,0.0,58.87
Mark Gehlsen,163,1,0.0,0.0,58.8,58.8
Ben Bauch,164,1,0.0,0.0,58.63,58.63
Burke Minahan,165,2,20.0,0.0,37.35,57.35
Aaron Sjogren,166,1,0.0,0.0,57.22,57.22
Matt Trumper,167,1,0.0,0.0,57.03,57.03
Dallas Erdahl,168,1,0.0,0.0,56.63,56.63
Patrick Green,169,1,0.0,0.0,56.29,56.29
Simon Peterson,170,1,0.0,0.0,56.22,56.22
Joseph Mundenar,171,1,0.0,0.0,56.18,56.18
Ben Mullin,172,1,56.03,0.0,0.0,56.03
Erik Alfvin,173,1,0.0,0.0,55.82,55.82
Jon Radloff,174,1,0.0,0.0,55.42,55.42
