Name,Overall Place,Number of Events,Skadi's Chase Points,Hiihto Relay Points,First Chance Points,LL Challenge Points,Mount Ashwabay Points,City of Lakes Loppet Points,Vasaloppet Points,Pepsi Challenge Points,Ski North Ultra Points,Series Points
Allen Hanson,59,2,0.0,0.0,0.0,0.0,0.0,86.5,95.71,0.0,0.0,182.21
Lance Hastings,60,2,0.0,0.0,0.0,90.74,0.0,0.0,90.79,0.0,0.0,181.53
Nate Rhode,61,4,0.0,55.26,0.0,0.0,66.67,0.0,20.0,0.0,24.39,181.32
Kevin Brochman,62,3,0.0,0.0,0.0,44.07,51.25,0.0,67.42,0.0,0.0,177.75
Josh Albrecht,63,2,0.0,78.95,0.0,0.0,93.75,0.0,0.0,0.0,0.0,172.7
Andrew Berndt,64,2,80.21,0.0,0.0,0.0,0.0,0.0,91.45,0.0,0.0,171.66
David Christopherson,65,3,0.0,20.0,75.15,0.0,0.0,0.0,59.87,0.0,0.0,170.02
Tyler Gilbert,66,2,0.0,0.0,0.0,0.0,85.42,0.0,0.0,0.0,82.93,168.34
Torry Kraftson,67,2,83.08,84.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.29
Henry Fischer,68,3,0.0,39.47,0.0,92.59,0.0,0.0,20.0,0.0,0.0,167.07
Dylan Little,69,2,0.0,0.0,0.0,99.07,0.0,67.18,0.0,0.0,0.0,166.25
Blaze Fugina,70,4,0.0,0.0,0.0,45.37,0.0,65.27,20.0,20.0,0.0,165.64
Christopher Jopp,71,2,0.0,0.0,0.0,0.0,0.0,77.48,84.87,0.0,0.0,162.35
Nathan Orf,72,2,0.0,68.42,0.0,0.0,0.0,0.0,93.42,0.0,0.0,161.84
Todd Sample,73,3,0.0,0.0,0.0,49.59,0.0,76.08,20.0,0.0,0.0,160.68
Levi Little,74,2,0.0,0.0,0.0,81.48,0.0,75.95,0.0,0.0,0.0,157.44
Jonah Lidberg,75,3,0.0,0.0,0.0,46.3,0.0,75.57,20.0,0.0,0.0,156.87
Mark Ahlers,76,2,0.0,0.0,0.0,0.0,64.0,0.0,92.29,0.0,0.0,156.29
James Miller,77,4,0.0,0.0,0.0,0.0,64.58,0.0,20.0,20.0,36.59,156.17
Bill Oyler,78,2,0.0,0.0,0.0,72.22,0.0,82.44,0.0,0.0,0.0,154.66
Sam Holt,79,3,98.96,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,153.96
Paul Cigan,80,3,0.0,0.0,0.0,0.0,20.0,0.0,98.03,20.0,0.0,153.03
Isaac Wieber,81,3,0.0,0.0,0.0,0.0,0.0,96.56,20.0,20.0,0.0,151.56
Nels Thompson,82,2,0.0,73.68,0.0,0.0,0.0,76.72,0.0,0.0,0.0,150.4
Ryan Steger,83,3,0.0,0.0,0.0,0.0,0.0,92.75,20.0,20.0,0.0,147.75
Nick Ross,84,3,92.71,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,147.71
Nikolas Stoufis,85,2,0.0,0.0,0.0,70.37,0.0,0.0,76.32,0.0,0.0,146.69
Kevin Johnson,86,2,66.67,0.0,79.49,0.0,0.0,0.0,0.0,0.0,0.0,146.15
Brent Kudak,87,2,0.0,0.0,0.0,0.0,0.0,66.41,78.95,0.0,0.0,145.36
Patrick Green,88,2,0.0,0.0,0.0,0.0,0.0,64.53,77.82,0.0,0.0,142.34
Michael Garlinghouse,89,3,0.0,26.32,0.0,0.0,0.0,80.53,20.0,0.0,0.0,141.85
Zachariah Pannkuk,90,3,0.0,0.0,0.0,49.07,0.0,54.2,20.0,0.0,0.0,138.27
Benjamin Fuller,91,3,30.21,28.95,0.0,0.0,0.0,0.0,61.84,0.0,0.0,136.0
Jon Isom,92,2,0.0,0.0,0.0,58.44,0.0,76.98,0.0,0.0,0.0,135.42
Craig Krueger,93,3,0.0,0.0,0.0,0.0,0.0,79.6,20.0,20.0,0.0,134.6
Jeffrey Powers,94,2,0.0,63.16,0.0,0.0,0.0,69.85,0.0,0.0,0.0,133.01
Fred Kueffer,95,3,0.0,0.0,0.0,47.22,0.0,50.38,0.0,20.0,0.0,132.6
John Lyrenmann,96,3,0.0,0.0,0.0,32.41,0.0,62.21,20.0,0.0,0.0,129.62
Owen Larsen,97,2,0.0,0.0,0.0,51.85,0.0,0.0,76.97,0.0,0.0,128.83
Kevin Rogers,98,2,0.0,0.0,0.0,0.0,59.67,0.0,0.0,68.29,0.0,127.95
Paul Andre,99,2,0.0,0.0,0.0,53.67,0.0,71.54,0.0,0.0,0.0,125.21
Thomas Krenz,100,3,0.0,0.0,0.0,0.0,70.08,0.0,20.0,20.0,0.0,125.08
Gary Krupp,101,3,46.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,0.0,125.0
Carter Scheele,102,2,0.0,0.0,74.36,0.0,0.0,0.0,0.0,0.0,48.78,123.14
Dan Little,103,2,0.0,0.0,0.0,48.15,0.0,74.43,0.0,0.0,0.0,122.58
Taylor Fay,104,2,0.0,31.58,0.0,0.0,0.0,87.4,0.0,0.0,0.0,118.98
Brian Gregg,105,2,0.0,0.0,0.0,0.0,0.0,98.85,20.0,0.0,0.0,118.85
Matthew Liebsch,106,2,0.0,0.0,0.0,0.0,0.0,98.47,20.0,0.0,0.0,118.47
Jakob Ellingson,107,2,0.0,0.0,0.0,0.0,0.0,97.71,20.0,0.0,0.0,117.71
Ben Larson,108,4,0.0,42.11,0.0,0.0,20.0,0.0,20.0,20.0,0.0,117.11
Jes Pedersen,109,3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,60.98,115.98
James Schwinghamer,110,3,0.0,0.0,0.0,0.0,60.42,0.0,20.0,20.0,0.0,115.42
Mark Lalonde,111,2,0.0,0.0,0.0,93.52,20.0,0.0,0.0,0.0,0.0,113.52
Richard Kyle,112,2,0.0,0.0,0.0,48.48,0.0,63.95,0.0,0.0,0.0,112.43
Joseph Bettendorf,113,2,0.0,0.0,0.0,0.0,0.0,91.22,0.0,20.0,0.0,111.22
Jason Napp,114,2,0.0,0.0,0.0,0.0,0.0,89.69,20.0,0.0,0.0,109.69
Dennis Kotcon,115,2,0.0,0.0,0.0,0.0,20.0,0.0,89.66,0.0,0.0,109.66
Michael Waltman,116,3,0.0,21.05,0.0,30.56,0.0,41.6,0.0,0.0,0.0,108.21
Aj Hemink,117,2,0.0,0.0,0.0,87.96,0.0,0.0,20.0,0.0,0.0,107.96
James Carlen,118,3,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,52.46,107.46
Simon Peterson,119,2,0.0,86.84,0.0,0.0,20.0,0.0,0.0,0.0,0.0,106.84
Nate Edel,120,3,0.0,0.0,0.0,32.63,0.0,38.88,0.0,20.0,0.0,106.51
Robert Skow,121,3,51.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,106.0
Nick Flynn,122,2,0.0,0.0,0.0,0.0,0.0,85.88,20.0,0.0,0.0,105.88
Thomas Ajax,123,2,0.0,0.0,0.0,0.0,0.0,85.32,20.0,0.0,0.0,105.32
